source_file,sheet,source_column,raw_township,raw_state_region,suggested_canonical_township,suggested_canonical_state_region,confidence,match_type,row_count,reason,recommended_alias_mapping
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Tharyarwaddy,BAGO WEST,Thayarwady,Bago (West),97.0,Alias Match,315,matched by current app township alias helper; multiple raw forms for same canonical: THARYARWADDY | Tharyarwaddy,"""Thayarwady"": [""Tharyarwaddy""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,THARYARWADDY,BAGO WEST,Thayarwady,Bago (West),97.0,Alias Match,37,matched by current app township alias helper; multiple raw forms for same canonical: THARYARWADDY | Tharyarwaddy,"""Thayarwady"": [""THARYARWADDY""]"
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Tharyarwaddy,Bago,Thayarwady,Bago (West),97.0,Alias Match,1,matched by current app township alias helper; state mismatch or no canonical state match; raw state='Bago'; multiple raw forms for same canonical: THARYARWADDY | Tharyarwaddy,"""Thayarwady"": [""Tharyarwaddy""]"
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Tharyarwaddy,Bago West,Thayarwady,Bago (West),97.0,Alias Match,1,matched by current app township alias helper; multiple raw forms for same canonical: THARYARWADDY | Tharyarwaddy,"""Thayarwady"": [""Tharyarwaddy""]"
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Tharyarwaddy/ Oakkan,Bago,Thayarwady,Bago (West),90.9,Ambiguous,4,contains separator; multiple possible townships,"""Thayarwady"": [""Tharyarwaddy/ Oakkan""]"
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,Tharyarwaddy/ Oakkan,Bago,Laukkaing,Shan (North),66.7,Ambiguous,4,contains separator; multiple possible townships,"""Laukkaing"": [""Tharyarwaddy/ Oakkan""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Kyarinseikgyi,KAYIN,Kyainseikgyi,Kayin,96.0,Fuzzy Match,7,fuzzy match >=95; verify before adding alias; multiple raw forms for same canonical: Kyain Seikgyi | Kyainseikgyi | Kyarinseikgyi,"""Kyainseikgyi"": [""Kyarinseikgyi""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Phaukkhaung,BAGO WEST,Paukkhaung,Bago (West),95.2,Fuzzy Match,1,fuzzy match >=95; verify before adding alias; multiple raw forms for same canonical: PAUK KHAUNG | Pauk Khaung | Paukkhaung | Phaukkhaung,"""Paukkhaung"": [""Phaukkhaung""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Min Hla,BAGO WEST,Minhla,Bago (West),98.0,Normalized Match,55,space/punctuation-insensitive match; multiple raw forms for same canonical: MINHLA | Min Hla | MinHla | Minhla,"""Minhla"": [""Min Hla""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,NATTALIN,BAGO WEST,Nattalin,Bago (West),99.0,Normalized Match,25,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: NATTALIN | Nattalin | nattalin,"""Nattalin"": [""NATTALIN""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,THATON,MON,Thaton,Mon,99.0,Normalized Match,25,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: THATON | Thaton,"""Thaton"": [""THATON""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Hpa An,KAYIN,Hpa-An,Kayin,99.0,Normalized Match,16,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: HPA-AN | Hpa An | Hpa-An | Hpa-An  | Hpa-an,"""Hpa-An"": [""Hpa An""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Daik U,BAGO EAST,Daik-U,Bago (East),99.0,Normalized Match,15,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: DAIK-U  | Daik U | Daik-U,"""Daik-U"": [""Daik U""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Hpa-an,KAYIN,Hpa-An,Kayin,99.0,Normalized Match,13,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: HPA-AN | Hpa An | Hpa-An | Hpa-An  | Hpa-an,"""Hpa-An"": [""Hpa-an""]"
